Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
118,Birham,Waresto,Waresto County,Stansburia,Stansburian Empire,Angshire,Bramburghism,town,5958,981.76,254.16,32.95,18.17,36,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;division:{division:perFess;t:azure;line:straight};charges:[{charge:mascle;t:sable;p:e;divided:counter;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Birham&population=5958&size=25&seed=2563131000118&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
119,Inverleigh,Enevyurt,Enevyurt Parish,Yerinte,Imamah of Yerinte,Keltan,Kocapism,town,3837,636.63,524,20.05,1.66,64,19°C,Marrakesh (Morocco),,port,,,,,,{t1:or;charges:[{charge:lymphad;t:gules;p:e;t2:azure;t3:purpure;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Inverleigh&population=3837&size=22&seed=2563131000119&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.66
120,Teimeltenswe,Lauch,Lauch Landgrave,Tutachinia,Duchy of Tutachinia,Shwazen,Shwazen Religion,city,906,390.04,400.71,25.94,-10.14,729,10°C,London (England),,port,,walls,,,,{t1:purpure;ordinaries:[{ordinary:fessDoubleCotissed;t:argent;line:straight}];charges:[{charge:badgerStatant;t:vert;p:def;t2:vert;size:0.4}];shield:swiss},https://watabou.github.io/city-generator/?name=Teimeltenswe&population=906&size=13&seed=2563131000120&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.65
121,Mindano,Castinia,Castinia Territory,Sazkyurt,Beylik of Sazkyurt,Tallian,Faith of Fateaux,town,2653,183.41,575.29,17.6,-20.03,36,20°C,Alexandria (Egypt),,port,,,,,,{t1:ermine-argent-gules;division:{division:perPale;t:sable;line:straight};ordinaries:[{ordinary:pale;t:purpure;line:straight}];shield:horsehead},https://watabou.github.io/city-generator/?name=Mindano&population=2653&size=19&seed=2563131000121&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.86
122,Burham,Dury,Dury Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,town,4828,1042.94,305.23,30.51,21.09,144,11°C,Antwerp (Belgium),,,,,,,,{t1:gules;ordinaries:[{ordinary:canton;t:argent}];charges:[{charge:eagle;t:purpure;p:y;t2:argent;t3:purpure;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Burham&population=4828&size=23&seed=2563131000122&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
123,Thetfordge,North,North Earldom,Stansburia,Stansburian Empire,Angshire,Kocapism,village,5631,818.82,266.59,32.35,10.37,16,11°C,Antwerp (Belgium),,,,,,,,{t1:gules;ordinaries:[{ordinary:bendlet;t:argent;line:wavy}];charges:[{charge:mulletPierced;t:gules;p:joe;size:0.3}];shield:wedged},https://watabou.github.io/village-generator/?pop=5631&name=Thetfordge&seed=2563131000123&width=1600&height=780&style=default&tags=river%2Cisolated%2Cno+square%2Cdense
124,Iubhlaberce,Cambhijo,Cambhijo County,Abergia,Kingdom of Abergia,Keltan,Bramburghism,town,2373,862.8,494.89,21.44,12.48,81,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:heron;t:sable;p:ABCDEFGHIJKL;t2:argent;size:0.18}];shield:oval},https://watabou.github.io/city-generator/?name=Iubhlaberce&population=2373&size=18&seed=2563131000124&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
125,Schom,Enheim,Enheim Clan,Malscken,Grand Duchy of Malscken,Shwazen,Shwazen Religion,village,886,424.28,405.04,25.74,-8.5,4,15°C,Rome (Italy),,,,,,,,{t1:sable;charges:[{charge:wolfPassant;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:swiss},https://watabou.github.io/village-generator/?pop=886&name=Schom&seed=2563131000125&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
126,Uzunkayruk,Erlyurt,Erlyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,7498,659.74,337.89,28.95,2.76,625,9°C,Copenhagen (Denmark),,,,,,,,{t1:argent;charges:[{charge:lionHeadCaboshed;t:azure;p:kn;t2:azure;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Uzunkayruk&population=7498&size=28&seed=2563131000126&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
127,Icearneta,Amphia,Amphia Shire,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,10626,1052.74,598.86,16.47,21.56,4,21°C,Tegucigalpa (Honduras),,port,,walls,,,,{t1:argent;ordinaries:[{ordinary:point;t:purpure}];charges:[{charge:fountain;t:azure;p:bdf;size:0.5}];shield:boeotian},https://watabou.github.io/city-generator/?name=Icearneta&population=10626&size=32&seed=2563131000127&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.22
128,Karkvera,New Sasjarvia,New Sasjarvia Colony,Turanmaa,Turanmaan Theocracy,Soumi,Kocapism,town,5678,351.03,214.78,34.83,-12.01,49,9°C,Copenhagen (Denmark),,port,,,,,,{t1:or;charges:[{charge:rapier;t:gules;p:jln;t2:azure;size:0.7}];shield:pavise},https://watabou.github.io/city-generator/?name=Karkvera&population=5678&size=25&seed=2563131000128&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.24
129,Foroughwark,Dury,Dury Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,town,21367,1053.42,304.21,30.56,21.6,9,12°C,Paris (France),,port,,walls,,,,{t1:gules;charges:[{charge:ramPassant;t:or;p:abc;t2:or;t3:or;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Foroughwark&population=21367&size=41&seed=2563131000129&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.43
130,Teton,Winetonbia,Winetonbia Land,Orporpor,Orporpor Theocracy,Angshire,Tamanian Heresy,town,1936,1073.81,484.46,21.94,22.57,729,13°C,Milan (Italy),,,,,,,,{t1:or;division:{division:perFess;t:sable;line:straight};charges:[{charge:key;t:gules;p:e;divided:field;size:1.5};{charge:key;t:argent;p:e;divided:division;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Teton&population=1936&size=17&seed=2563131000130&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
131,Calton,North,North Earldom,Stansburia,Stansburian Empire,Angshire,Bramburghism,village,792,834.42,317.97,29.9,11.12,9,13°C,Milan (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:pale;t:azure;line:straight}];charges:[{charge:mascle;t:or;p:kn;size:0.7}];shield:wedged},https://watabou.github.io/village-generator/?pop=792&name=Calton&seed=2563131000131&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
132,Adasiler,New Ayayruzun,New Ayayruzun Colony,Yerinte,Imamah of Yerinte,Turchian,Kocapism,city,6262,607.24,556.58,18.49,0.25,9,20°C,Alexandria (Egypt),,,,walls,,,,{t1:azure;division:{division:perCross;t:argent;line:straight};charges:[{charge:axe;t:or;p:jo;t2:or;divided:counter;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Adasiler&population=6262&size=26&seed=2563131000132&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
133,Algepepeli,Yalbe,Yalbe Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,village,840,437.39,523.18,20.09,-7.88,100,18°C,Barcelona (Spain),,,,,,,,{t1:sable;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:lozenge;t:vert;p:ABCDEFGHIJKL;t2:vert;size:0.18};{charge:inescutcheon;t:or;p:e;size:1.1}];shield:round},https://watabou.github.io/village-generator/?pop=840&name=Algepepeli&seed=2563131000133&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
134,Sarp Oksun,Sarp Oksun,Sarp Oksun County,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,town,2607,349.11,592.54,16.77,-12.1,4,21°C,Tegucigalpa (Honduras),,port,,,,,,{t1:palyBendy-argent-gules;ordinaries:[{ordinary:chevron;t:azure}];shield:round},https://watabou.github.io/city-generator/?name=Sarp+Oksun&population=2607&size=19&seed=2563131000134&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.96
135,Dutulia,Rorumia,Rorumia County,Aciasecia,Principality of Aciasecia,Romian,Faith of Fateaux,town,7152,92.42,577.77,17.48,-24.38,49,20°C,Alexandria (Egypt),,,citadel,,,,,{t1:purpure;ordinaries:[{ordinary:chief;t:argent;line:seaWaves}];charges:[{charge:annulet;t:gules;p:abc;size:0.5}];shield:roman},https://watabou.github.io/city-generator/?name=Dutulia&population=7152&size=27&seed=2563131000135&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
136,Urra,Urra,Urra Colony,Abergia,Kingdom of Abergia,Euskati,Euskati Ancestors,town,1016,921.52,737.31,9.85,15.29,36,22°C,Guangzhou (China),,port,,,plaza,,,{t1:argent;division:{division:perChevron;t:gules;line:straight};ordinaries:[{ordinary:fess;t:azure;line:straight;divided:counter}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Urra&population=1016&size=13&seed=2563131000136&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.53
137,Cergonorino,Giupolia,Giupolia Territory,Chuelia,Diocese of Chuelia,Tallian,Faith of Fateaux,village,490,147.42,516.7,20.4,-21.75,196,17°C,Lisbon (Portugal),,,,,,,,{t1:counterVair-argent-purpure;charges:[{charge:buckle;t:sable;p:e;size:1.5}];shield:horsehead},https://watabou.github.io/village-generator/?pop=490&name=Cergonorino&seed=2563131000137&width=800&height=390&style=default&tags=dead+end%2Cuncultivated%2Cno+square%2Cdense
138,Temblerajof,Barmia,Barmia Parish,Yerinte,Imamah of Yerinte,Astellian,Yerinish Creed,village,4829,449.46,609.24,15.97,-7.3,576,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;division:{division:perPile;t:argent;line:engrailed};charges:[{charge:stagLodgedRegardant;t:or;p:abceh;t2:or;t3:or;size:0.4}];shield:spanish},https://watabou.github.io/village-generator/?pop=4829&name=Temblerajof&seed=2563131000138&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
139,Aulles,Marquilles,Marquilles Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,5756,105.65,400.22,25.97,-23.75,4,15°C,Rome (Italy),,,,walls,,,,{t1:azure;charges:[{charge:lionRampant;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Aulles&population=5756&size=25&seed=2563131000139&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
140,Toprak,Soniatania,Soniatania Land,Aciasecia,Principality of Aciasecia,Turchian,Kocapism,town,1962,277.3,507.5,20.84,-15.53,49,18°C,Barcelona (Spain),,,,,,,,{t1:argent;ordinaries:[{ordinary:bordure;t:gules}];charges:[{charge:lozengeFaceted;t:argent;p:ABCDEFGHIJKL;size:0.18};{charge:crossAvellane;t:vert;p:e;size:1.1}];shield:round},https://watabou.github.io/city-generator/?name=Toprak&population=1962&size=17&seed=2563131000140&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
141,Casco,Kaltaylyurt,Kaltaylyurt Area,Sazkyurt,Beylik of Sazkyurt,Tallian,Kocapism,town,10155,288.22,563.48,18.16,-15.01,1024,13°C,Milan (Italy),,,,,,,,{t1:azure;charges:[{charge:crossFormee;t:argent;p:e;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Casco&population=10155&size=31&seed=2563131000141&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
142,Vetri,Casca,Casca County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,710,107.3,526.54,19.93,-23.67,16,19°C,Marrakesh (Morocco),,,,,,,,{t1:or;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Vetri&population=710&size=11&seed=2563131000142&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
143,Sernu,Buykuteli,Buykuteli County,Alprakeli,Alprakelian Horde,Turchian,Kocapism,city,8679,383.01,586.29,17.07,-10.48,16,20°C,Alexandria (Egypt),,port,citadel,walls,plaza,temple,shanty town,{t1:or;division:{division:perFess;t:purpure;line:straight};charges:[{charge:mascle;t:sable;p:giz;divided:field;size:0.4};{charge:oak;t:argent;p:e;divided:division;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Sernu&population=8679&size=29&seed=2563131000143&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=1.24
144,Capra,Capra,Capra County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,863,150.78,566.4,18.02,-21.59,400,17°C,Lisbon (Portugal),,,,,,,,{t1:vert;charges:[{charge:key;t:or;p:jln;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Capra&population=863&size=12&seed=2563131000144&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
145,Rurusanide,Jung,Jung Region,Boy,Boyan Khaganate,Soumi,Kocapism,village,660,535.62,152.44,37.81,-3.18,4,8°C,Prague (Czechia),,port,,,,,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:sable;line:potentySinister}];charges:[{charge:drakkar;t:or;p:e;t2:or;t3:or;size:0.7}];shield:pavise},https://watabou.github.io/village-generator/?pop=660&name=Rurusanide&seed=2563131000145&width=1000&height=488&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
146,Capranelferi,Conterra,Conterra County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,3511,193.82,498.93,21.25,-19.53,576,14°C,Washington (D.C.),,,,,,,,{t1:gules;charges:[{charge:helmetGreat;t:argent;p:e;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Capranelferi&population=3511&size=21&seed=2563131000146&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
147,Alokovaya,Yeneri,Yeneri Seneschalty,Boy,Boyan Khaganate,Turchian,Kocapism,town,1516,583.5,266.1,32.38,-0.89,289,9°C,Copenhagen (Denmark),,port,,,,,,{t1:counterVair-purpure-argent;division:{division:perBend;t:grillage-gules-or-smaller;line:straight};charges:[{charge:roundel2;t:vert;p:l;size:0.7};{charge:crossedBones;t:sable;p:m;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Alokovaya&population=1516&size=15&seed=2563131000147&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
148,Alprak,Alprak,Alprak Area,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,town,925,522.88,465.98,22.82,-3.79,4,17°C,Lisbon (Portugal),,,,,,,,{t1:sable;charges:[{charge:grenade;t:or;p:jln;t2:or;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Alprak&population=925&size=13&seed=2563131000148&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
149,Aberkinverda,Areruria,Areruria County,Abergia,Kingdom of Abergia,Keltan,Bramburghism,town,3707,854.42,552.28,18.7,12.08,25,19°C,Marrakesh (Morocco),,,,,,,,{t1:argent;division:{division:perSaltire;t:gules};charges:[{charge:sun;t:azure;p:ABCDEFGHIJKL;size:0.18};{charge:roundel2;t:azure;p:e;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Aberkinverda&population=3707&size=21&seed=2563131000149&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
150,Baldu,Baldu,Baldu Region,Boy,Boyan Khaganate,Turchian,Kocapism,town,701,676.27,189.11,36.06,3.55,9,9°C,Copenhagen (Denmark),,port,,walls,,,,{t1:or;charges:[{charge:lymphad;t:purpure;p:e;t2:purpure;t3:purpure;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Baldu&population=701&size=11&seed=2563131000150&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.6
151,Godfordbute,Halnia,Halnia County,Stansburia,Stansburian Empire,Angshire,Bramburghism,town,4810,918.99,358.88,27.94,15.16,676,10°C,London (England),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:piles;t:gules}];charges:[{charge:buckle;t:azure;p:abcpqh;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Godfordbute&population=4810&size=23&seed=2563131000151&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
152,Guildmin,Cocheapton,Cocheapton Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,3328,1077.12,418.76,25.08,22.73,16,16°C,Dubrovnik (Croatia),,,,,,,,{t1:azure;charges:[{charge:helmet;t:argent;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Guildmin&population=3328&size=20&seed=2563131000152&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
153,Tarroriniora,Giupolia,Giupolia Territory,Chuelia,Diocese of Chuelia,Tallian,Faith of Fateaux,village,2515,131.92,517.1,20.38,-22.49,49,18°C,Barcelona (Spain),,,,,,,,{t1:lozengy-or-purpure-small;charges:[{charge:dragonPassant;t:azure;p:e;t2:sable;t3:sable;size:1.5}];shield:horsehead},https://watabou.github.io/village-generator/?pop=2515&name=Tarroriniora&seed=2563131000153&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
154,Gyriantioch,Gyriantioch,Gyriantioch Earldom,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,496,1076.55,607.69,16.05,22.7,9,21°C,Tegucigalpa (Honduras),,,,walls,plaza,,,{t1:azure;charges:[{charge:roundel;t:argent;p:jln;size:0.7}];shield:boeotian},https://watabou.github.io/city-generator/?name=Gyriantioch&population=496&size=10&seed=2563131000154&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
155,Abertleven,Abertleven,Abertleven Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,320,809.8,463.44,22.94,9.94,64,17°C,Lisbon (Portugal),,,,,,,,{t1:gules;ordinaries:[{ordinary:bendlet;t:or;line:enclavy}];charges:[{charge:billet;t:gules;p:joe;size:0.3}];shield:oval},https://watabou.github.io/city-generator/?name=Abertleven&population=320&size=9&seed=2563131000155&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
156,Cerskyfiga,Olicargan,Olicargan County,Abergia,Kingdom of Abergia,Keltan,Tamanian Heresy,town,459,945.93,574.7,17.62,16.45,441,17°C,Lisbon (Portugal),,,,,,,,{t1:chequy-argent-vert;division:{division:perPale;t:purpure;line:straight};shield:oval},https://watabou.github.io/city-generator/?name=Cerskyfiga&population=459&size=10&seed=2563131000156&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
157,Degorrio,Degorrio,Degorrio County,Abergia,Kingdom of Abergia,Euskati,Bramburghism,city,988,909.55,673.76,12.89,14.71,4,22°C,Guangzhou (China),,port,,,,temple,,{t1:or;charges:[{charge:bowWithThreeArrows;t:azure;p:e;t2:vert;t3:azure;size:1.5}];shield:oldFrench},https://watabou.github.io/city-generator/?name=Degorrio&population=988&size=13&seed=2563131000157&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=1&walls=0&shantytown=0&style=natural&sea=0.6
158,Aber,Aberporth,Aberporth Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,5847,777.65,488.23,21.76,8.4,576,14°C,Washington (D.C.),,,,,,,,{t1:gules;ordinaries:[{ordinary:bendlet;t:or;line:straight}];charges:[{charge:plough;t:vert;p:joe;t2:vert;size:0.3}];shield:oval},https://watabou.github.io/city-generator/?name=Aber&population=5847&size=25&seed=2563131000158&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
159,Aynakse,Aynakse,Aynakse Colony,Stansburia,Stansburian Empire,Turchian,Bramburghism,village,3131,839.07,387.1,26.59,11.34,169,14°C,Washington (D.C.),,,,,,,,{t1:azure;ordinaries:[{ordinary:pileInBendSinister;t:or}];charges:[{charge:crossDouble;t:azure;p:e;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=3131&name=Aynakse&seed=2563131000159&width=1600&height=780&style=default&tags=isolated%2Cuncultivated%2Cno+square%2Cdense
160,Psychmona,Totestable,Totestable Region,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,851,1033.89,526.24,19.94,20.66,225,18°C,Barcelona (Spain),,,,,,,,{t1:vert;division:{division:perFess;t:argent;line:straight};charges:[{charge:boat;t:or;p:k;t2:or;size:0.7};{charge:lambPassantReguardant;t:gules;p:n;size:0.7}];shield:boeotian},https://watabou.github.io/city-generator/?name=Psychmona&population=851&size=12&seed=2563131000160&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
161,Collerano,Sezesezia,Sezesezia County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,11455,218.34,451.64,23.51,-18.35,484,13°C,Milan (Italy),,port,,,,,,{t1:argent;division:{division:perSaltire;t:gules};charges:[{charge:billet;t:purpure;p:bhdf;divided:counter;size:0.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Collerano&population=11455&size=33&seed=2563131000161&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.13
162,Kilkham,Kilkham,Kilkham County,Stansburia,Stansburian Empire,Angshire,Bramburghism,city,3230,918.46,249.56,33.17,15.14,9,10°C,London (England),,port,,,,,,{t1:argent;ordinaries:[{ordinary:pallReversed;t:gules}];charges:[{charge:lymphad;t:argent;p:bemo;t2:azure;t3:argent;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Kilkham&population=3230&size=20&seed=2563131000162&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.63
163,Mantium,Marvionia,Marvionia Clan,Aciasecia,Principality of Aciasecia,Romian,Faith of Fateaux,town,3923,138.55,595.74,16.62,-22.17,16,21°C,Tegucigalpa (Honduras),,port,citadel,,plaza,,,{t1:gules;charges:[{charge:armillarySphere;t:argent;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Mantium&population=3923&size=22&seed=2563131000163&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=0.47
164,Chiptonbu,Kirbuteria,Kirbuteria Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,village,5240,1042.84,282.42,31.6,21.09,49,11°C,Antwerp (Belgium),,,,,,,,{t1:or;ordinaries:[{ordinary:bend;t:purpure;line:straight}];charges:[{charge:shears;t:or;p:e;size:0.7}];shield:wedged},https://watabou.github.io/village-generator/?pop=5240&name=Chiptonbu&seed=2563131000164&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
165,Hiruedazuza,Moncocendi,Moncocendi Parish,Yerinte,Imamah of Yerinte,Astellian,Yerinish Creed,town,4858,448.92,574.76,17.62,-7.32,576,16°C,Dubrovnik (Croatia),,,,,,,,{t1:gules;charges:[{charge:apple;t:argent;p:e;t2:argent;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Hiruedazuza&population=4858&size=24&seed=2563131000165&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
166,Erlertepe,Moncocendi,Moncocendi Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,village,951,475.73,592.12,16.79,-6.04,441,18°C,Barcelona (Spain),,,,,,,,{t1:sable;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:pale;t:or;line:flechy;divided:counter}];shield:round},https://watabou.github.io/village-generator/?pop=951&name=Erlertepe&seed=2563131000166&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
167,Esepedi,Kalteli,Kalteli Islands,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,village,6852,341.69,580.21,17.36,-12.45,16,20°C,Alexandria (Egypt),,port,,,,,,{t1:gules;division:{division:perCross;t:or;line:straight};shield:round},https://watabou.github.io/village-generator/?pop=6852&name=Esepedi&seed=2563131000167&width=1600&height=780&style=default&tags=coast%2Cdead+end%2Cfarmland%2Cno+square%2Cdense
168,Quvilly,Aunesardon,Aunesardon Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,village,1234,182.2,302.9,30.62,-20.08,121,11°C,Antwerp (Belgium),,,citadel,,,,,{t1:gules;charges:[{charge:tower;t:argent;p:def;t2:argent;size:0.5}];shield:french},https://watabou.github.io/village-generator/?pop=1234&name=Quvilly&seed=2563131000168&width=1400&height=683&style=default&tags=dead+end%2Cuncultivated%2Cno+square%2Cdense
169,Erkesenkor,Elieli,Elieli County,Boy,Boyan Khaganate,Turchian,Kocapism,town,776,553.4,287.77,31.34,-2.33,400,9°C,Copenhagen (Denmark),,,,,,,,{t1:or;charges:[{charge:angel;t:vert;p:e;t2:vert;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Erkesenkor&population=776&size=12&seed=2563131000169&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
