Id,Route,Group,Length
735,Unnamed route segment,searoutes,8 km
347,Unnamed route segment,trails,8 km
752,Unnamed route segment,searoutes,8 km
426,Unnamed route segment,trails,8 km
236,Unnamed route segment,trails,8 km
427,Unnamed route segment,trails,8 km
296,Unnamed route segment,trails,8 km
662,Unnamed route segment,searoutes,7 km
657,Unnamed route segment,searoutes,7 km
681,Unnamed route segment,searoutes,7 km
580,Unnamed route segment,trails,7 km
569,Unnamed route segment,trails,7 km
770,Unnamed route segment,searoutes,7 km
605,Unnamed route segment,searoutes,7 km
506,Unnamed route segment,trails,7 km
713,Unnamed route segment,searoutes,7 km
790,Unnamed route segment,searoutes,7 km
788,Unnamed route segment,searoutes,7 km
161,Unnamed route segment,trails,7 km
757,Unnamed route segment,searoutes,7 km
654,Unnamed route segment,searoutes,7 km
594,Unnamed route segment,searoutes,7 km
471,Unnamed route segment,trails,6 km
742,Unnamed route segment,searoutes,6 km
792,Unnamed route segment,searoutes,6 km
509,Unnamed route segment,trails,6 km
799,Unnamed route segment,searoutes,6 km
537,Unnamed route segment,trails,6 km
619,Unnamed route segment,searoutes,6 km
604,Unnamed route segment,searoutes,6 km
818,Unnamed route segment,searoutes,6 km
686,Unnamed route segment,searoutes,6 km
443,Unnamed route segment,trails,6 km
762,Unnamed route segment,searoutes,6 km
817,Unnamed route segment,searoutes,6 km
801,Unnamed route segment,searoutes,6 km
593,Unnamed route segment,searoutes,6 km
703,Unnamed route segment,searoutes,6 km
699,Unnamed route segment,searoutes,6 km
794,Unnamed route segment,searoutes,5 km
691,Unnamed route segment,searoutes,5 km
169,Unnamed route segment,trails,5 km
781,Unnamed route segment,searoutes,5 km
831,Unnamed route segment,searoutes,5 km
784,Unnamed route segment,searoutes,4 km
250,Unnamed route segment,trails,4 km
783,Unnamed route segment,searoutes,4 km
755,Unnamed route segment,searoutes,4 km
690,Unnamed route segment,searoutes,4 km
796,Unnamed route segment,searoutes,4 km
629,Unnamed route segment,searoutes,2 km
710,Unnamed route segment,searoutes,2 km
